instance,name,num,seed,initial_ct,final_ct,time,solution_file
52_wee,wee-mag,52,11,433.0,12,434.97391414642334,solutions/ils/52_wee_ils_seed11.txt
52_wee,wee-mag,52,12,38.0,13,456.02083015441895,solutions/ils/52_wee_ils_seed12.txt
52_wee,wee-mag,52,13,34.0,12,435.27208614349365,solutions/ils/52_wee_ils_seed13.txt
52_wee,wee-mag,52,14,30.0,12,418.2079930305481,solutions/ils/52_wee_ils_seed14.txt
61_wee,wee-mag,61,10,78.0,20,596.7327060699463,solutions/ils/61_wee_ils_seed10.txt
61_wee,wee-mag,61,11,43.0,19,581.9892568588257,solutions/ils/61_wee_ils_seed11.txt
61_wee,wee-mag,61,12,65.0,19,584.1126878261566,solutions/ils/61_wee_ils_seed12.txt
61_wee,wee-mag,61,13,53.0,19,573.0874588489532,solutions/ils/61_wee_ils_seed13.txt
61_wee,wee-mag,61,14,34.0,19,574.0738282203674,solutions/ils/61_wee_ils_seed14.txt
62_wee,wee-mag,62,10,44.0,19,570.6735832691193,solutions/ils/62_wee_ils_seed10.txt
62_wee,wee-mag,62,11,75.0,20,590.0582149028778,solutions/ils/62_wee_ils_seed11.txt
62_wee,wee-mag,62,12,47.0,20,550.7626113891602,solutions/ils/62_wee_ils_seed12.txt
62_wee,wee-mag,62,13,55.0,20,581.8805830478668,solutions/ils/62_wee_ils_seed13.txt
62_wee,wee-mag,62,14,60.0,20,566.1719088554382,solutions/ils/62_wee_ils_seed14.txt
71_wee,wee-mag,71,10,47.0,23,582.6690077781677,solutions/ils/71_wee_ils_seed10.txt
71_wee,wee-mag,71,11,61.0,23,571.132789850235,solutions/ils/71_wee_ils_seed11.txt
71_wee,wee-mag,71,12,87.0,21,575.1502470970154,solutions/ils/71_wee_ils_seed12.txt
71_wee,wee-mag,71,13,82.0,23,577.6893110275269,solutions/ils/71_wee_ils_seed13.txt
71_wee,wee-mag,71,14,55.0,22,566.2018609046936,solutions/ils/71_wee_ils_seed14.txt
72_wee,wee-mag,72,10,45.0,21,613.6361241340637,solutions/ils/72_wee_ils_seed10.txt
72_wee,wee-mag,72,11,46.0,21,577.9270508289337,solutions/ils/72_wee_ils_seed11.txt
72_wee,wee-mag,72,12,49.0,21,585.9863648414612,solutions/ils/72_wee_ils_seed12.txt
72_wee,wee-mag,72,13,55.0,21,589.3490891456604,solutions/ils/72_wee_ils_seed13.txt
72_wee,wee-mag,72,14,56.0,21,563.801215171814,solutions/ils/72_wee_ils_seed14.txt
